2026-06-21,"Kuwait",38.35 KWD,41.82 KWD,2026-06-19
2026-06-22,"Kuwait",38.35 KWD,41.82 KWD,2026-06-19
2026-06-23,"Kuwait",38.35 KWD,41.82 KWD,2026-06-19
2026-06-24,"Kuwait",38.35 KWD,41.82 KWD,2026-06-19
2026-06-25,"Kuwait",36.94 KWD,40.28 KWD,2026-06-24
2026-06-26,"Kuwait",37.39 KWD,40.78 KWD,2026-06-26
2026-06-27,"Kuwait",37.93 KWD,41.36 KWD,2026-06-27
2026-06-28,"Kuwait",37.93 KWD,41.36 KWD,2026-06-28
2026-06-29,"Kuwait",37.72 KWD,41.14 KWD,2026-06-29
2026-07-01,"Kuwait",37.00 KWD,40.35 KWD,2026-07-01
2026-07-02,"Kuwait",37.96 KWD,41.40 KWD,2026-07-02
2026-07-03,"Kuwait",38.65 KWD,42.14 KWD,2026-07-03
2026-07-04,"Kuwait",38.58 KWD,42.07 KWD,2026-07-04
2026-07-05,"Kuwait",38.58 KWD,42.07 KWD,2026-07-05
2026-07-06,"Kuwait",38.44 KWD,41.92 KWD,2026-07-06
2026-07-07,"Kuwait",38.12 KWD,41.56 KWD,2026-07-07
2026-07-08,"Kuwait",38.10 KWD,41.55 KWD,2026-07-08
2026-07-09,"Kuwait",37.92 KWD,41.35 KWD,2026-07-09
2026-07-10,"Kuwait",38.00 KWD,41.43 KWD,2026-07-10
2026-07-11,"Kuwait",38.05 KWD,41.49 KWD,2026-07-11
2026-07-12,"Kuwait",38.05 KWD,41.49 KWD,2026-07-11
2026-07-13,"Kuwait",37.50 KWD,40.88 KWD,2026-07-13
2026-07-14,"Kuwait",37.20 KWD,40.55 KWD,2026-07-14
2026-07-15,"Kuwait",37.20 KWD,40.58 KWD,2026-07-15
2026-07-16,"Kuwait",37.20 KWD,40.56 KWD,2026-07-16
2026-07-17,"Kuwait",37.00 KWD,40.35 KWD,2026-07-17
2026-07-18,"Kuwait",37.14 KWD,40.49 KWD,2026-07-18
2026-07-19,"Kuwait",37.14 KWD,40.49 KWD,2026-07-18
2026-07-20,"Kuwait",37.02 KWD,40.37 KWD,2026-07-20
2026-07-21,"Kuwait",37.65 KWD,41.05 KWD,2026-07-21
2026-07-22,"Kuwait",37.61 KWD,41.00 KWD,2026-07-21
2026-07-23,"Kuwait",38.10 KWD,41.51 KWD,2026-07-23
2026-07-24,"Kuwait",37.30 KWD,40.67 KWD,2026-07-24
2026-07-25,"Kuwait",37.58 KWD,40.98 KWD,2026-07-25
2026-07-26,"Kuwait",37.58 KWD,40.98 KWD,2026-07-25
2026-07-27,"Kuwait",37.95 KWD,41.39 KWD,2026-07-27
2026-07-28,"Kuwait",37.54 KWD,40.94 KWD,2026-07-28
2026-07-29,"Kuwait",37.50 KWD,40.90 KWD,2026-07-29
2026-07-30,"Kuwait",37.46 KWD,40.85 KWD,2026-07-30
2026-07-31,"Kuwait",37.82 KWD,41.23 KWD,2026-07-31
2026-08-01,"Kuwait",37.42 KWD,40.80 KWD,2026-08-01
2026-08-02,"Kuwait",37.42 KWD,40.80 KWD,2026-08-01
2026-08-04,"Kuwait",37.59 KWD,40.99 KWD,2026-08-04
2026-08-06,"Kuwait",39.39 KWD,42.95 KWD,2026-08-06
2026-08-07,"Kuwait",39.44 KWD,43.01 KWD,2026-08-07
2026-08-08,"Kuwait",39.95 KWD,43.57 KWD,2026-08-08
2026-08-09,"Kuwait",39.95 KWD,43.57 KWD,2026-08-09
2026-08-10,"Kuwait",40.02 KWD,43.64 KWD,2026-08-10
2026-08-11,"Kuwait",40.12 KWD,43.75 KWD,2026-08-11
2026-08-12,"Kuwait",40.26 KWD,43.91 KWD,2026-08-12
2026-08-14,"Kuwait",39.73 KWD,43.31 KWD,2026-08-14
2026-08-15,"Kuwait",40.10 KWD,43.73 KWD,2026-08-15
2026-08-16,"Kuwait",40.10 KWD,43.73 KWD,2026-08-15
2026-08-17,"Kuwait",40.26 KWD,43.90 KWD,2026-08-17
2026-08-18,"Kuwait",40.28 KWD,43.92 KWD,2026-08-18
2026-08-19,"Kuwait",39.74 KWD,43.33 KWD,2026-08-19
2026-08-20,"Kuwait",41.16 KWD,44.88 KWD,2026-08-20
2026-08-25,"Kuwait",42.53 KWD,46.38 KWD,2026-08-25
2026-08-26,"Kuwait",42.34 KWD,46.17 KWD,2026-08-26
2026-08-27,"Kuwait",42.00 KWD,45.80 KWD,2026-08-26
2026-08-28,"Kuwait",42.20 KWD,45.87 KWD,2026-08-27
2026-08-29,"Kuwait",41.15 KWD,44.72 KWD,2026-08-28
2026-08-30,"Kuwait",40.91 KWD,44.46 KWD,2026-08-29
2026-08-31,"Kuwait",40.91 KWD,44.46 KWD,2026-08-29
2026-09-01,"Kuwait",40.65 KWD,44.23 KWD,2026-09-01
2026-09-02,"Kuwait",39.65 KWD,43.14 KWD,2026-09-02
2026-09-03,"Kuwait",40.57 KWD,44.14 KWD,2026-09-03
2026-09-04,"Kuwait",40.99 KWD,44.60 KWD,2026-09-04
2026-09-05,"Kuwait",40.61 KWD,44.18 KWD,2026-09-05
